,name,album,artist,explicit,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,year
72,Ridin' Solo,Jason Derulo,Jason Derulo,False,2010-02-24,215746,65,2010-02-24,0.128,0.442,0.83,0.0,0.129,-4.02,0.146,89.338,4,2010
7,The Spins,K.I.D.S.,Mac Miller,True,2010-08-13,195873,82,2010-08-13,0.0135,0.794,0.766,0.0,0.0785,-3.894,0.0377,127.007,4,2010
60,Bottoms Up (feat. Nicki Minaj),"Passion, Pain & Pleasure (Deluxe Version)",Trey Songz,True,2010-09-14,242013,72,2010-09-14,0.0205,0.844,0.601,0.0,0.385,-5.283,0.157,73.989,4,2010
44,Just A Dream,5.0,Nelly,False,2010-11-12,237800,73,2010-11-12,0.0421,0.531,0.752,0.0,0.12,-6.161,0.0305,89.917,4,2010
55,Club Can't Handle Me (feat. David Guetta),Only One Flo (Part 1),Flo Rida,False,2010-11-24,234560,76,2010-11-24,0.0283,0.616,0.869,0.0,0.064,-3.911,0.0327,127.966,4,2010
34,On The Floor,LOVE?,Jennifer Lopez,False,2011-01-01,284866,62,2011-01-01,0.108,0.73,0.777,0.000467,0.069,-5.199,0.0479,130.0,4,2011
10,Starships,Pink Friday ... Roman Reloaded,Nicki Minaj,True,2011-01-01,210626,73,2011-01-01,0.135,0.747,0.716,0.0,0.251,-2.457,0.075,125.008,4,2011
65,Party Rock Anthem,Sorry For Party Rocking,LMFAO,False,2011-01-01,262173,69,2011-01-01,0.0189,0.75,0.727,0.0,0.266,-4.21,0.142,129.993,4,2011
36,Hey Baby (Drop It to the Floor) (feat. T-Pain),Planet Pit (Deluxe Version),Pitbull,False,2011-06-17,234453,71,2011-06-17,0.0434,0.595,0.912,0.0,0.259,-3.428,0.0884,128.024,4,2011
0,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Planet Pit (Deluxe Version),Pitbull,False,2011-06-17,252306,81,2011-06-17,0.191,0.671,0.939,0.0,0.298,-3.206,0.161,129.024,4,2011
76,Play Hard (feat. Ne-Yo & Akon),Nothing but the Beat 2.0,David Guetta,False,2011-08-24,201000,59,2011-08-24,0.174,0.691,0.921,0.0,0.331,-1.702,0.0535,130.072,4,2011
25,Titanium (feat. Sia),Nothing but the Beat 2.0,David Guetta,False,2011-08-24,245040,68,2011-08-24,0.0678,0.604,0.788,0.153,0.127,-3.673,0.103,126.06,4,2011
46,Stereo Love,Karaoke Summer Hits,Instrumental,False,2011-09-18,206426,38,2011-09-18,0.0056,0.728,0.392,0.876,0.119,-12.194,0.0406,127.018,4,2011
14,"Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,True,2011-10-11,207333,77,2011-10-11,0.0525,0.715,0.655,0.0,0.115,-6.425,0.137,95.078,4,2011
3,Levels - Radio Edit,Levels,Avicii,False,2011-10-28,199906,78,2011-10-28,0.0462,0.584,0.889,0.828,0.309,-5.941,0.0343,126.04,4,2011
39,Timber (feat. Ke$ha),Global Warming: Meltdown (Deluxe Version),Pitbull,False,2012-01-01,204160,81,2012,0.0295,0.581,0.963,0.0,0.139,-4.087,0.0981,129.992,4,2012
73,Don't Stop the Party (feat. TJR),Global Warming: Meltdown (Deluxe Version),Pitbull,False,2012-01-01,206120,66,2012,0.00726,0.722,0.958,0.0,0.375,-3.617,0.0912,127.008,4,2012
6,Now Or Never - Bonus Track,"good kid, m.A.A.d city (Deluxe)",Kendrick Lamar,False,2012-01-01,256013,56,2012,0.264,0.528,0.708,0.0,0.308,-5.879,0.207,97.8,4,2012
23,All Night Longer,All Night Longer,Sammy Adams,True,2012-08-20,177093,61,2012-08-20,0.000652,0.712,0.649,0.0,0.0683,-4.753,0.063,127.028,4,2012
54,Girl on Fire,Girl on Fire (Remixes) - EP,Alicia Keys,False,2012-11-18,224920,77,2012-11-18,0.135,0.482,0.706,0.00106,0.105,-5.762,0.0607,92.513,4,2012
2,Die Young,Warrior (Expanded Edition),Kesha,False,2012-11-30,211920,78,2012-11-30,0.00498,0.711,0.7,0.000125,0.215,-4.805,0.046,128.001,4,2012
47,Still into You,Paramore,Paramore,False,2013-04-05,216013,79,2013-04-05,0.0098,0.602,0.923,0.0,0.0561,-3.763,0.044,136.01,4,2013
49,We Can't Stop,Bangerz (Deluxe Version),Miley Cyrus,False,2013-10-04,231240,77,2013-10-04,0.00882,0.613,0.622,0.0,0.37,-5.794,0.0334,80.003,4,2013
5,The Nights,The Days / Nights,Avicii,False,2014-01-01,176658,85,2014-01-01,0.0166,0.527,0.835,0.0,0.249,-5.298,0.0433,125.983,4,2014
37,Hot N*gga,Hot N*gga,Bobby Shmurda,True,2014-07-25,194561,73,2014-07-25,0.0505,0.794,0.51,1.81e-06,0.0562,-7.314,0.42,167.879,4,2014
45,Blame (feat. John Newman),Motion,Calvin Harris,False,2014-10-31,212960,76,2014-10-31,0.0287,0.414,0.857,0.00574,0.343,-4.078,0.0808,128.024,4,2014
38,Time of Our Lives,Globalization,Pitbull,True,2014-11-21,229360,80,2014-11-21,0.0921,0.721,0.802,0.0,0.694,-5.797,0.0583,124.022,4,2014
9,No Role Modelz,2014 Forest Hills Drive,J. Cole,True,2014-12-09,292799,86,2014-12-09,0.324,0.69,0.521,0.0,0.0534,-8.492,0.339,100.028,4,2014
