,name,album,artist,explicit,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,year
101,Blue Tint,Scorpion,Drake,True,2018-06-29,162800,67,2018-06-29,0.013,0.889,0.372,0.0,0.184,-10.254,0.357,133.997,4,2018
96,Jaded,Scorpion,Drake,True,2018-06-29,262453,73,2018-06-29,0.037,0.764,0.271,0.0,0.175,-5.697,0.0414,116.019,4,2018
65,Dreams Money Can Buy,Care Package,Drake,True,2019-08-02,253803,59,2019-08-02,0.765,0.423,0.587,0.0,0.114,-6.635,0.529,180.331,4,2019
66,The Motion,Care Package,Drake,True,2019-08-02,240956,65,2019-08-02,0.371,0.631,0.788,0.000317,0.108,-7.142,0.102,157.769,4,2019
68,Trust Issues,Care Package,Drake,True,2019-08-02,281518,82,2019-08-02,0.779,0.421,0.539,0.0,0.111,-5.456,0.274,89.177,3,2019
69,Days in The East,Care Package,Drake,True,2019-08-02,353697,58,2019-08-02,0.348,0.733,0.361,0.000285,0.0942,-11.129,0.135,94.902,4,2019
70,Draft Day,Care Package,Drake,True,2019-08-02,266325,55,2019-08-02,0.0322,0.673,0.81,0.0,0.133,-3.793,0.36,166.084,4,2019
72,5 Am in Toronto,Care Package,Drake,True,2019-08-02,205264,62,2019-08-02,0.0678,0.555,0.88,0.0,0.0723,-4.325,0.265,87.195,4,2019
67,How Bout Now,Care Package,Drake,True,2019-08-02,235566,69,2019-08-02,0.205,0.789,0.404,0.0,0.219,-8.364,0.23,122.062,4,2019
74,My Side,Care Package,Drake,True,2019-08-02,294650,52,2019-08-02,0.603,0.549,0.495,7.26e-06,0.0979,-5.661,0.133,81.012,4,2019
73,I Get Lonely,Care Package,Drake,False,2019-08-02,253561,57,2019-08-02,0.706,0.477,0.501,5.61e-06,0.0953,-9.178,0.0398,81.376,4,2019
81,Can I,Care Package,Drake,True,2019-08-02,189289,70,2019-08-02,0.484,0.643,0.178,0.0108,0.122,-8.56,0.0588,85.042,4,2019
80,Paris Morton Music,Care Package,Drake,True,2019-08-02,251239,60,2019-08-02,0.414,0.505,0.494,7.98e-05,0.105,-8.635,0.315,171.978,4,2019
79,Girls Love Beyoncé (feat. James Fauntleroy),Care Package,Drake,True,2019-08-02,225011,64,2019-08-02,0.782,0.619,0.489,0.0,0.106,-11.25,0.46,126.046,4,2019
71,4pm in Calabasas,Care Package,Drake,True,2019-08-02,240217,60,2019-08-02,0.115,0.743,0.66,0.0,0.101,-4.802,0.418,192.031,4,2019
77,Free Spirit (feat. Rick Ross),Care Package,Drake,True,2019-08-02,252884,56,2019-08-02,0.281,0.508,0.748,0.0,0.168,-4.997,0.33,100.414,3,2019
76,Club Paradise,Care Package,Drake,True,2019-08-02,283816,59,2019-08-02,0.758,0.338,0.729,3.24e-05,0.18,-6.419,0.102,184.174,4,2019
75,Jodeci Freestyle (feat. J. Cole),Care Package,Drake,True,2019-08-02,254022,56,2019-08-02,0.0111,0.498,0.844,0.0,0.102,-2.834,0.268,88.435,4,2019
78,Heat Of The Moment,Care Package,Drake,True,2019-08-02,343455,50,2019-08-02,0.179,0.641,0.454,0.000116,0.065,-8.344,0.133,78.036,4,2019
51,Deep Pockets,Dark Lane Demo Tapes,Drake,True,2020-05-01,222928,60,2020-05-01,0.482,0.473,0.824,0.0,0.605,-3.68,0.163,77.888,4,2020
52,When To Say When,Dark Lane Demo Tapes,Drake,True,2020-05-01,223124,62,2020-05-01,0.252,0.41,0.82,0.0,0.538,-6.808,0.533,170.718,4,2020
53,Chicago Freestyle (feat. Giveon),Dark Lane Demo Tapes,Drake,True,2020-05-01,220487,84,2020-05-01,0.629,0.735,0.449,0.0,0.113,-7.507,0.347,122.947,4,2020
54,Not You Too (feat. Chris Brown),Dark Lane Demo Tapes,Drake,True,2020-05-01,269680,80,2020-05-01,0.342,0.458,0.452,1.94e-05,0.0703,-9.299,0.047,86.318,4,2020
55,Toosie Slide,Dark Lane Demo Tapes,Drake,True,2020-05-01,247058,72,2020-05-01,0.289,0.83,0.49,3.04e-06,0.113,-8.82,0.209,81.604,4,2020
56,Desires (with Future),Dark Lane Demo Tapes,Drake,True,2020-05-01,237945,68,2020-05-01,0.281,0.812,0.506,0.0,0.325,-7.706,0.116,145.074,4,2020
58,Landed,Dark Lane Demo Tapes,Drake,True,2020-05-01,152195,63,2020-05-01,0.00606,0.881,0.636,0.0,0.111,-4.629,0.287,163.949,4,2020
59,D4L,Dark Lane Demo Tapes,Drake,True,2020-05-01,189176,63,2020-05-01,0.0128,0.718,0.706,0.0,0.352,-5.709,0.06,170.004,4,2020
60,Pain 1993 (with Playboi Carti),Dark Lane Demo Tapes,Drake,True,2020-05-01,149077,81,2020-05-01,0.163,0.825,0.373,0.0,0.368,-5.532,0.108,77.271,4,2020
62,From Florida With Love,Dark Lane Demo Tapes,Drake,True,2020-05-01,234782,66,2020-05-01,0.768,0.787,0.477,0.0,0.104,-7.837,0.199,80.506,4,2020
63,Demons (feat. Fivio Foreign & Sosa Geek),Dark Lane Demo Tapes,Drake,True,2020-05-01,204805,63,2020-05-01,0.423,0.543,0.766,0.0,0.155,-3.387,0.343,106.869,3,2020
64,War,Dark Lane Demo Tapes,Drake,True,2020-05-01,180000,68,2020-05-01,0.292,0.749,0.792,0.0,0.109,-4.151,0.0826,144.064,4,2020
57,Time Flies,Dark Lane Demo Tapes,Drake,True,2020-05-01,192931,80,2020-05-01,0.201,0.864,0.477,0.0,0.182,-5.786,0.224,86.46,4,2020
61,Losses,Dark Lane Demo Tapes,Drake,True,2020-05-01,271183,60,2020-05-01,0.28,0.551,0.57,0.0,0.424,-7.385,0.351,85.687,4,2020
260,Over The Top (feat. Drake),Over The Top (feat. Drake),Smiley,True,2021-07-23,153406,56,2021-07-23,0.0493,0.833,0.498,0.0,0.119,-5.196,0.117,139.928,4,2021
50,The Remorse,Certified Lover Boy,Drake,True,2021-09-03,351220,62,2021-09-03,0.812,0.473,0.53,6.92e-06,0.227,-8.506,0.249,74.732,3,2021
30,Champagne Poetry,Certified Lover Boy,Drake,True,2021-09-03,336511,79,2021-09-03,0.758,0.423,0.667,0.0,0.246,-7.012,0.326,86.743,4,2021
31,Papi’s Home,Certified Lover Boy,Drake,True,2021-09-03,178623,71,2021-09-03,0.112,0.701,0.741,0.0,0.699,-6.157,0.313,140.177,4,2021
32,Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,True,2021-09-03,221979,79,2021-09-03,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,4,2021
33,In The Bible (with Lil Durk & Giveon),Certified Lover Boy,Drake,True,2021-09-03,296568,71,2021-09-03,0.614,0.686,0.385,0.0,0.131,-8.35,0.297,143.07,4,2021
34,Love All (with JAY-Z),Certified Lover Boy,Drake,True,2021-09-03,228461,73,2021-09-03,0.354,0.73,0.576,3.59e-05,0.15,-5.442,0.287,92.131,4,2021
35,Fair Trade (with Travis Scott),Certified Lover Boy,Drake,True,2021-09-03,291175,88,2021-09-03,0.0503,0.666,0.465,0.0,0.215,-8.545,0.26,167.937,4,2021
36,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,Drake,True,2021-09-03,257604,80,2021-09-03,0.000619,0.803,0.597,4.5e-06,0.323,-6.035,0.141,136.008,4,2021
38,N 2 Deep,Certified Lover Boy,Drake,True,2021-09-03,273577,70,2021-09-03,0.0518,0.507,0.429,0.0,0.109,-7.726,0.326,91.0,3,2021
39,Pipe Down,Certified Lover Boy,Drake,True,2021-09-03,205721,74,2021-09-03,0.128,0.518,0.69,0.0,0.176,-6.15,0.107,77.837,4,2021
37,TSU,Certified Lover Boy,Drake,True,2021-09-03,308755,76,2021-09-03,0.228,0.568,0.56,3.05e-06,0.39,-9.059,0.42,130.019,4,2021
41,No Friends In The Industry,Certified Lover Boy,Drake,True,2021-09-03,204346,75,2021-09-03,0.0181,0.84,0.744,0.0,0.629,-4.751,0.113,83.737,4,2021
49,F*****g Fans,Certified Lover Boy,Drake,True,2021-09-03,245131,64,2021-09-03,0.213,0.783,0.416,0.0,0.103,-9.84,0.135,87.073,4,2021
40,Yebba’s Heartbreak,Certified Lover Boy,Drake,True,2021-09-03,133762,82,2021-09-03,0.967,0.476,0.161,0.0381,0.109,-11.665,0.0407,119.614,4,2021
47,You Only Live Twice (with Lil Wayne & Rick Ross),Certified Lover Boy,Drake,True,2021-09-03,213103,67,2021-09-03,0.118,0.519,0.851,0.0,0.178,-6.001,0.29,123.823,5,2021
46,Get Along Better,Certified Lover Boy,Drake,True,2021-09-03,229303,72,2021-09-03,0.00645,0.32,0.466,0.0,0.133,-6.77,0.0374,177.693,3,2021
48,IMY2 (with Kid Cudi),Certified Lover Boy,Drake,True,2021-09-03,252378,70,2021-09-03,0.402,0.59,0.493,0.00504,0.129,-8.704,0.0367,150.026,4,2021
44,Race My Mind,Certified Lover Boy,Drake,True,2021-09-03,269883,70,2021-09-03,0.179,0.488,0.635,8.16e-06,0.156,-7.19,0.26,174.072,4,2021
43,7am On Bridle Path,Certified Lover Boy,Drake,True,2021-09-03,239635,66,2021-09-03,0.225,0.724,0.531,0.0,0.11,-4.108,0.298,89.901,4,2021
42,Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,True,2021-09-03,242965,85,2021-09-03,0.0635,0.849,0.424,0.0,0.0834,-9.579,0.324,145.887,4,2021
45,Fountains (with Tems),Certified Lover Boy,Drake,True,2021-09-03,192417,75,2021-09-03,0.181,0.843,0.485,0.0675,0.107,-8.735,0.195,100.053,4,2021
21,Calling My Name,"Honestly, Nevermind",Drake,True,2022-06-17,129964,68,2022-06-17,0.62,0.826,0.276,8.53e-05,0.118,-11.227,0.266,123.985,4,2022
16,Intro,"Honestly, Nevermind",Drake,False,2022-06-17,36935,62,2022-06-17,0.955,0.193,0.0218,0.88,0.117,-31.16,0.0389,125.501,3,2022
17,Falling Back,"Honestly, Nevermind",Drake,False,2022-06-17,266178,67,2022-06-17,0.238,0.718,0.758,0.00653,0.11,-8.29,0.0703,118.989,4,2022
18,Texts Go Green,"Honestly, Nevermind",Drake,False,2022-06-17,308820,68,2022-06-17,0.000916,0.765,0.627,0.195,0.0847,-4.607,0.0622,118.997,4,2022
19,Currents,"Honestly, Nevermind",Drake,False,2022-06-17,157390,68,2022-06-17,0.104,0.883,0.283,0.00167,0.0935,-12.653,0.113,122.013,4,2022
20,A Keeper,"Honestly, Nevermind",Drake,True,2022-06-17,173097,72,2022-06-17,0.512,0.6,0.482,0.000104,0.115,-11.596,0.0701,121.909,4,2022
22,Sticky,"Honestly, Nevermind",Drake,True,2022-06-17,243227,80,2022-06-17,0.0917,0.853,0.495,0.000217,0.0844,-14.63,0.14,137.027,4,2022
23,Massive,"Honestly, Nevermind",Drake,False,2022-06-17,336924,76,2022-06-17,0.114,0.499,0.671,0.0169,0.148,-6.774,0.0561,124.994,3,2022
24,Flight's Booked,"Honestly, Nevermind",Drake,False,2022-06-17,254407,69,2022-06-17,0.886,0.593,0.41,0.0993,0.115,-13.097,0.0531,122.584,4,2022
25,Overdrive,"Honestly, Nevermind",Drake,False,2022-06-17,202451,64,2022-06-17,0.444,0.502,0.645,0.00964,0.107,-10.611,0.122,109.739,4,2022
26,Down Hill,"Honestly, Nevermind",Drake,False,2022-06-17,250864,61,2022-06-17,0.965,0.718,0.319,0.00036,0.0895,-11.261,0.0435,109.994,4,2022
27,Tie That Binds,"Honestly, Nevermind",Drake,False,2022-06-17,336005,64,2022-06-17,0.0176,0.775,0.688,0.0917,0.108,-10.912,0.0593,120.017,4,2022
28,Liability,"Honestly, Nevermind",Drake,True,2022-06-17,237932,65,2022-06-17,0.268,0.557,0.706,0.0,0.132,-6.592,0.0649,105.013,4,2022
29,Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,True,2022-06-17,218364,91,2022-06-17,0.000307,0.529,0.673,2.41e-06,0.093,-4.711,0.175,165.921,4,2022
259,STAYING ALIVE (feat. Drake & Lil Baby),STAYING ALIVE (feat. Drake & Lil Baby),DJ Khaled,True,2022-08-05,178176,73,2022-08-05,0.068,0.718,0.461,0.0,0.283,-7.676,0.0797,129.953,4,2022
1,Major Distribution,Her Loss,Drake,True,2022-11-04,170501,78,2022-11-04,0.0127,0.908,0.546,0.0,0.0707,-10.491,0.323,131.016,4,2022
2,On BS,Her Loss,Drake,True,2022-11-04,261543,82,2022-11-04,0.0201,0.841,0.358,0.0,0.39,-8.368,0.591,158.014,4,2022
3,BackOutsideBoyz,Her Loss,Drake,True,2022-11-04,152961,75,2022-11-04,0.0407,0.849,0.433,0.0,0.388,-8.434,0.316,142.11,4,2022
4,Privileged Rappers,Her Loss,Drake,True,2022-11-04,160821,78,2022-11-04,0.00274,0.934,0.614,0.0,0.123,-7.384,0.198,144.045,4,2022
5,Spin Bout U,Her Loss,Drake,True,2022-11-04,214588,86,2022-11-04,0.01,0.773,0.701,0.0,0.163,-6.386,0.0512,129.963,4,2022
6,Hours In Silence,Her Loss,Drake,True,2022-11-04,399153,76,2022-11-04,0.234,0.501,0.403,0.0,0.267,-11.106,0.119,118.352,4,2022
7,Treacherous Twins,Her Loss,Drake,True,2022-11-04,180098,73,2022-11-04,0.0782,0.746,0.517,0.0,0.137,-7.582,0.327,88.987,4,2022
9,Pussy & Millions (feat. Travis Scott),Her Loss,Drake,True,2022-11-04,242026,81,2022-11-04,0.0623,0.749,0.63,0.0,0.353,-6.652,0.116,122.03,4,2022
10,Broke Boys,Her Loss,Drake,True,2022-11-04,225439,77,2022-11-04,0.0104,0.642,0.533,0.000108,0.251,-7.45,0.266,120.041,4,2022
11,Middle of the Ocean,Her Loss,Drake,True,2022-11-04,356389,71,2022-11-04,0.18,0.466,0.703,0.0,0.422,-5.774,0.393,76.815,3,2022
12,Jumbotron Shit Poppin,Her Loss,Drake,True,2022-11-04,137151,77,2022-11-04,0.221,0.799,0.575,0.0,0.196,-6.257,0.282,99.026,4,2022
13,More M’s,Her Loss,Drake,True,2022-11-04,221406,74,2022-11-04,0.0405,0.704,0.504,0.000422,0.139,-6.749,0.223,82.537,4,2022
14,3AM on Glenwood,Her Loss,Drake,True,2022-11-04,178328,66,2022-11-04,0.0533,0.475,0.692,6.49e-06,0.18,-8.327,0.398,181.167,4,2022
15,I Guess It’s Fuck Me,Her Loss,Drake,True,2022-11-04,263987,69,2022-11-04,0.499,0.385,0.34,1.2e-05,0.196,-11.754,0.051,83.947,4,2022
8,Circo Loco,Her Loss,Drake,True,2022-11-04,236795,80,2022-11-04,0.0102,0.734,0.605,0.0,0.317,-8.476,0.0699,103.976,4,2022
0,Rich Flex,Her Loss,Drake,True,2022-11-04,239359,90,2022-11-04,0.0503,0.561,0.52,1.86e-06,0.355,-9.342,0.244,153.15,3,2022
258,We Caa Done (feat. Drake),We Caa Done (feat. Drake),Popcaan,True,2023-01-06,245240,71,2023-01-06,0.0431,0.568,0.76,1.53e-05,0.18,-6.455,0.275,100.042,4,2023
257,Search & Rescue,Search & Rescue,Drake,True,2023-04-07,272112,90,2023-04-07,0.0603,0.817,0.44,1.42e-06,0.33,-8.482,0.0734,142.024,4,2023
256,Who Told You (feat. Drake),Who Told You (feat. Drake),J Hus,True,2023-06-08,208917,89,2023-06-08,0.147,0.646,0.743,0.0,0.101,-4.572,0.338,151.314,5,2023
